Re,S,Lambda,regime,viscosity_ratio,drag_coefficient,kinetic_energy
300,0.005,0.25,turbulent,13.674488955904398,0.0860504023479461,2.8017206216068558
300,0.005,0.75,turbulent,15.943876770712766,0.08618352474356368,2.676952311684834
300,0.005,1.25,laminar,9.330552649820278,0.08718765583954247,3.276130665246697
300,0.005,2.5,turbulent,18.42413327635177,0.08636838987759063,2.8306243455703815
500,0.005,0.1,turbulent,12.68950204066272,0.0696298348913387,3.245772820385354
500,0.005,0.5,laminar,8.798339740471253,0.06933740756479638,3.1071269647537227
500,0.005,1.25,turbulent,19.764187756887914,0.06931346216197583,2.5377143318061486
500,0.005,2.0,turbulent,25.143094203475343,0.06951455817638584,2.739248730188212
500,0.005,3.0,turbulent,28.44878899455819,0.06965975601355623,2.867887068497451
500,0.01,0.25,turbulent,12.367290796707547,0.06968203723005148,3.2496721687201964
500,0.01,0.75,turbulent,10.93296051521241,0.06970438049463769,3.2014614276472733
500,0.01,1.25,turbulent,22.427896907074192,0.0694514231353295,2.7122546393677522
500,0.01,2.5,turbulent,27.75475541398743,0.06960853352718153,2.8205773178423215
750,0.005,0.1,turbulent,24.452223488900398,0.05829886923707402,2.844552467589572
750,0.005,0.5,laminar,6.5748181131819665,0.05813467316011302,2.9010147586525306
750,0.005,1.5,laminar,7.329003271542544,0.05872083109938474,3.0472515290364726
750,0.005,3.0,turbulent,15.536998507856296,0.0594566540867746,3.239521211600894
750,0.01,0.1,turbulent,30.995569611054528,0.05842275482093161,2.90708423654036
750,0.01,0.5,turbulent,18.50135832198084,0.058313522599319954,2.824310674911416
750,0.01,1.5,turbulent,11.782605145937078,0.058971918523839796,3.17531055492311
750,0.01,3.5,turbulent,18.300215362664012,0.05976511810606414,3.332521500125579
1000,0.005,0.1,turbulent,19.10015120587726,0.05219886879965642,3.232290938722842
1000,0.005,0.5,laminar,4.8558421859973055,0.051654054546807784,2.903561663144902
1000,0.005,1.5,laminar,3.7394668480692173,0.0521664758048502,3.0162518125110998
1000,0.005,3.0,turbulent,13.53986512694183,0.0528680547549708,3.160926638980872
1000,0.005,5.0,turbulent,20.488689670871885,0.05333124786477565,3.2917155355287417
1000,0.01,0.1,turbulent,22.10861570747063,0.05245527362176655,3.3252344545634904
1000,0.01,0.5,turbulent,13.669215856956335,0.05196589520198926,3.150414440706181
1000,0.01,1.5,turbulent,10.704042551874828,0.05230264068819984,3.1073254843226206
1000,0.01,3.0,turbulent,16.789009773815167,0.05307596743937396,3.2390411526975607
