Re,S,Lambda,regime,converged,viscosity_ratio
300,0.005,0.25,turbulent,True,13.674488955904398
300,0.005,0.75,turbulent,True,15.943876770712766
300,0.005,1.25,laminar,True,9.330552649820278
300,0.005,2.5,turbulent,True,18.42413327635177
500,0.005,0.1,turbulent,True,12.68950204066272
500,0.005,0.5,laminar,True,8.798339740471253
500,0.005,1.25,turbulent,True,19.764187756887914
500,0.005,2.0,turbulent,True,25.143094203475343
500,0.005,3.0,turbulent,True,28.44878899455819
500,0.01,0.25,turbulent,True,12.367290796707547
500,0.01,0.75,turbulent,True,10.93296051521241
500,0.01,1.25,turbulent,True,22.427896907074192
500,0.01,2.5,turbulent,True,27.75475541398743
750,0.005,0.1,turbulent,True,24.452223488900398
750,0.005,0.5,laminar,True,6.5748181131819665
750,0.005,1.5,laminar,True,7.329003271542544
750,0.005,3.0,turbulent,True,15.536998507856296
750,0.01,0.1,turbulent,True,30.995569611054528
750,0.01,0.5,turbulent,True,18.50135832198084
750,0.01,1.5,turbulent,True,11.782605145937078
750,0.01,3.5,turbulent,True,18.300215362664012
1000,0.005,0.1,turbulent,True,19.10015120587726
1000,0.005,0.5,laminar,True,4.8558421859973055
1000,0.005,1.5,laminar,True,3.7394668480692173
1000,0.005,3.0,turbulent,True,13.53986512694183
1000,0.005,5.0,turbulent,True,20.488689670871885
1000,0.01,0.1,turbulent,True,22.10861570747063
1000,0.01,0.5,turbulent,True,13.669215856956335
1000,0.01,1.5,turbulent,True,10.704042551874828
1000,0.01,3.0,turbulent,True,16.789009773815167
